id,source,beds,baths,total,per_person,per_bed,address,verdict
craigslist-7941072766,craigslist,1,1,800,800,800,198 Black Oak rd,OK
craigslist-7940110370,craigslist,2,1,1500,750,750,204 West Spencer Street,OK
craigslist-7941071264,craigslist,2,1,900,450,450,,pp<500;no_addr
craigslist-7931629149,craigslist,2,1,1895,948,948,114 Overlook Road near kline,OK
craigslist-7938871983,craigslist,2,1.5,2500,1250,1250,Ithaca,no_addr
craigslist-7941051941,craigslist,2,1,900,450,450,Ivory Foster Rd near Barnes creek,pp<500;no_addr
craigslist-7939775760,craigslist,0,1,1375,1375,1375,Village Circle near Equinox Drive,no_addr
craigslist-7939775705,craigslist,1,1,1577,1577,1577,Village Circle near Equinox Drive,no_addr
craigslist-7939775679,craigslist,1,1,1752,1752,1752,Village Circle near Equinox Drive,no_addr
craigslist-7939775630,craigslist,2,2,2062,1031,1031,Village Circle near Equinox Drive,no_addr
craigslist-7939775574,craigslist,3,2,2268,756,756,Village Circle near Equinox drive,no_addr
craigslist-7940449548,craigslist,1,1,1272,1272,1272,Village Circle,no_addr
craigslist-7938872264,craigslist,3,2.5,2995,998,998,1062 Dryden Road,OK
craigslist-7940335029,craigslist,1,1,2500,2500,2500,104 N Aurora St near E State street,OK
craigslist-7940336645,craigslist,2,1,2800,1400,1400,104-06 N Aurora St near E State street,OK
craigslist-7939697475,craigslist,2,1,1700,850,850,523 E State St near Stewart Ave.,OK
craigslist-7933948713,craigslist,3,1,2500,833,833,222 Eddy Street,OK
craigslist-7936922752,craigslist,1,1,795,795,795,107 Eddy st,OK
craigslist-7940955712,craigslist,1,1,1100,1100,1100,Gunderman Rd near Comfort Rd,no_addr
craigslist-7940941585,craigslist,0,1,1050,1050,1050,South Hill,no_addr
craigslist-7931485353,craigslist,1,1,975,975,975,Agard Rd. near Rt. 89,OK
craigslist-7933905948,craigslist,1,2,700,700,700,103 Birdseye View Dr near Danny rd,OK
craigslist-7934846083,craigslist,1,2,650,650,650,1044 Danby Rd,OK
craigslist-7940927154,craigslist,1,1,1000,1000,1000,Ellis Hollow RD,no_addr
craigslist-7940925641,craigslist,1,1,900,900,900,312 turner pl,OK
craigslist-7940927117,craigslist,1,1,1000,1000,1000,Dearborn Place near Triphammer Rd,no_addr
craigslist-7940926286,craigslist,1,1,825,825,825,North Cayuga st near Farm st,no_addr
craigslist-7940926299,craigslist,1,1,850,850,850,607 W. Green St. near Meadow,OK
craigslist-7940925676,craigslist,1,1,1000,1000,1000,E State Street near Stewart Ave,no_addr
craigslist-7940926281,craigslist,1,1,1011,1011,1011,600 warren rd,OK
craigslist-7940926307,craigslist,1,1,1000,1000,1000,104 N Aurora St near E State street,OK
craigslist-7940927125,craigslist,1,1,1000,1000,1000,Village Circle,no_addr
craigslist-7938173837,craigslist,2,1,1950,975,975,457 West Dryden Rd near Wood rd,OK
craigslist-7940922061,craigslist,0,1,1200,1200,1200,135 Coddington Rd,OK
craigslist-7934135729,craigslist,2,1,2365,1182,1182,520 Linn St. near King St.,OK
craigslist-7940908340,craigslist,2,2,2300,1150,1150,2227 N Triphammer Rd,OK
craigslist-7938862198,craigslist,3,1,1200,400,400,56 Groton Ave,pp<500
craigslist-7938549775,craigslist,3,1,1797,599,599,542 Warren Rd near Winthrop Drive,OK
craigslist-7940879553,craigslist,3,2,2550,850,850,Ithaca  – Cornell,no_addr
craigslist-7938732685,craigslist,1,1,1400,1400,1400,Utica St. near Farm St.,no_addr
craigslist-7933548965,craigslist,1,2.5,800,800,800,Dearborn Place near Triphammer Rd,no_addr
craigslist-7935859297,craigslist,4,2,3400,850,850,E State St near Stewart Ave,no_addr
craigslist-7939705154,craigslist,4,2.5,3350,838,838,Northeast,no_addr
craigslist-7938377178,craigslist,3,1,1897,632,632,125 Farm Street near North Tioga St,OK
craigslist-7931369675,craigslist,3,1,2900,967,967,719 Hanshaw Road,OK
craigslist-7934881624,craigslist,2,1,1850,925,925,2250 North Triphammer Road,OK
craigslist-7935647940,craigslist,2,1,2175,1088,1088,North Titus Avenue near South Plain Stre,no_addr
craigslist-7940092018,craigslist,2,1,1300,650,650,2250 North Triphammer Road,OK
craigslist-7940091075,craigslist,2,2,1200,600,600,Village Circle near Equinox Drive,no_addr
craigslist-7940091371,craigslist,1,1,900,900,900,600 warren rd,OK
craigslist-7940091013,craigslist,2,1,1300,650,650,200 West Hill Circle,OK
craigslist-7940089697,craigslist,2,1,1000,500,500,E seneca near Steawrt,no_addr
craigslist-7939478462,craigslist,3,1,1350,450,450,542 Warren Rd near Winthrop Drive,pp<500
craigslist-7940750174,craigslist,2,1,1495,748,748,Washington Street near Mclallen Street,no_addr
craigslist-7940730863,craigslist,1,1,1450,1450,1450,317.5 E. Buffalo Street near Parker St.,OK
craigslist-7940723523,craigslist,2,1,1885,942,942,207-09 Delaware Ave,OK
craigslist-7938978338,craigslist,2,1,1890,945,945,110 Parker Street near E. Seneca St,OK
craigslist-7934209087,craigslist,3,1,2625,875,875,207-09 Delaware Ave near Oxford Place,OK
craigslist-7939086293,craigslist,0,1,1300,1300,1300,Jacksonville,no_addr
craigslist-7936152650,craigslist,1,1,1800,1800,1800,N Geneva St near W Buffalo St,no_addr
craigslist-7940678254,craigslist,3,1,2595,865,865,826 N Aurora St near 826 N Aurora St,OK
