FLAG craigslist-7941071264                    2bd $900    pp$450                                        | no_street_address
FLAG craigslist-7938871983                    2bd $2500   pp$1250  Ithaca                               | no_street_address
FLAG craigslist-7941051941                    2bd $900    pp$450   Ivory Foster Rd near Barnes creek    | no_street_address
FLAG craigslist-7939775760                    0bd $1375   pp$1375  Village Circle near Equinox Drive    | no_street_address
FLAG craigslist-7939775705                    1bd $1577   pp$1577  Village Circle near Equinox Drive    | no_street_address
FLAG craigslist-7939775679                    1bd $1752   pp$1752  Village Circle near Equinox Drive    | no_street_address
FLAG craigslist-7939775630                    2bd $2062   pp$1031  Village Circle near Equinox Drive    | no_street_address
FLAG craigslist-7939775574                    3bd $2268   pp$756   Village Circle near Equinox drive    | no_street_address
FLAG craigslist-7940449548                    1bd $1272   pp$1272  Village Circle                       | no_street_address
FLAG craigslist-7940955712                    1bd $1100   pp$1100  Gunderman Rd near Comfort Rd         | no_street_address
FLAG craigslist-7940941585                    0bd $1050   pp$1050  South Hill                           | no_street_address
FLAG craigslist-7933905948                    0bd $700    pp$700   103 Birdseye View Dr near Danny rd   | beds!=raw(0vs5)
FLAG craigslist-7934846083                    0bd $650    pp$650   1044 Danby Rd                        | beds!=raw(0vs5)
FLAG craigslist-7940927154                    1bd $1000   pp$1000  Ellis Hollow RD                      | no_street_address
FLAG craigslist-7940927117                    1bd $1000   pp$1000  Dearborn Place near Triphammer Rd    | no_street_address
FLAG craigslist-7940926286                    1bd $825    pp$825   North Cayuga st near Farm st         | no_street_address
FLAG craigslist-7940925676                    1bd $1000   pp$1000  E State Street near Stewart Ave      | no_street_address
FLAG craigslist-7940927125                    1bd $1000   pp$1000  Village Circle                       | no_street_address
FLAG craigslist-7940879553                    3bd $2550   pp$850   Ithaca  – Cornell                    | no_street_address
FLAG craigslist-7938732685                    1bd $1400   pp$1400  Utica St. near Farm St.              | no_street_address
FLAG craigslist-7933548965                    1bd $800    pp$800   Dearborn Place near Triphammer Rd    | no_street_address
FLAG craigslist-7935859297                    4bd $3400   pp$850   E State St near Stewart Ave          | no_street_address
FLAG craigslist-7939705154                    4bd $3350   pp$838   Northeast                            | no_street_address
FLAG craigslist-7935647940                    2bd $2175   pp$1088  North Titus Avenue near South Plai   | no_street_address
FLAG craigslist-7940091075                    2bd $1200   pp$600   Village Circle near Equinox Drive    | no_street_address
FLAG craigslist-7940089697                    2bd $1000   pp$500   E seneca near Steawrt                | no_street_address
FLAG craigslist-7940750174                    2bd $1495   pp$748   Washington Street near Mclallen St   | no_street_address
FLAG craigslist-7939086293                    0bd $1300   pp$1300  Jacksonville                         | no_street_address
FLAG craigslist-7936152650                    1bd $1800   pp$1800  N Geneva St near W Buffalo St        | no_street_address
FLAG craigslist-7935998890                    0bd $1354   pp$1354  Village Circle near Equinox drive    | no_street_address
FLAG craigslist-7932930970                    1bd $2225   pp$2225  Village Circle                       | no_street_address
FLAG craigslist-7940669463                    2bd $1300   pp$650                                        | no_street_address
FLAG craigslist-7940669440                    1bd $800    pp$800                                        | no_street_address
FLAG craigslist-7936260772                    1bd $1500   pp$1500  Dearborn Place near Triphammer Rd    | no_street_address
FLAG craigslist-7933954309                    2bd $1795   pp$898   Burdett, East side of Seneca Lake    | no_street_address
FLAG craigslist-7938943438                    0bd $1650   pp$1650  University Ave near Court St.        | no_street_address
FLAG craigslist-7938828541                    2bd $2150   pp$1075  N Cayuga Ave near Court St           | no_street_address
FLAG craigslist-7937502037                    2bd $2550   pp$1275  N Cayuga St near Court St.           | no_street_address
FLAG craigslist-7940511518                    0bd $815    pp$815   505 Dryden Road                      | beds!=raw(0vs4)
FLAG craigslist-7932016382                    2bd $1507   pp$754   Ithaca                               | no_street_address
FLAG craigslist-7940488524                    0bd $550    pp$550   Groton                               | no_street_address
FLAG craigslist-7940488218                    1bd $700    pp$700   Groton                               | no_street_address
FLAG craigslist-7940456619                    2bd $982    pp$491                                        | no_street_address
FLAG craigslist-7935436704                    2bd $1250   pp$625   Brooktondale,NY                      | no_street_address
FLAG craigslist-7940437874                    3bd $1800   pp$600   Salem Drive near Deerfield place     | no_street_address
FLAG craigslist-7940437801                    3bd $1725   pp$575   Tareyton Dr near Rose hill Rd        | no_street_address
FLAG craigslist-7932163425                    3bd $2310   pp$770   ithaca                               | no_street_address
FLAG craigslist-7932163824                    2bd $1400   pp$700   Freeville                            | no_street_address
FLAG craigslist-7932163588                    3bd $2550   pp$850   ithaca                               | no_street_address
FLAG craigslist-7940400030                    1bd $395    pp$395   310 Farm St.                         | total_low(395)
FLAG craigslist-7940369053                    3bd $1850   pp$617                                        | no_street_address
FLAG craigslist-7939809051                    1bd $1700   pp$1700  Ellis Hollow RD                      | no_street_address
FLAG craigslist-7933281791                    1bd $1300   pp$1300  North Geneva Street near Cascadill   | no_street_address
FLAG craigslist-7940299066                    2bd $1650   pp$825                                        | no_street_address
FLAG craigslist-7940297445                    2bd $2000   pp$1000  Fall e                               | no_street_address
FLAG craigslist-7940279957                    1bd $1225   pp$1225  North Geneva Street near Cascadill   | no_street_address
FLAG craigslist-7939355470                    2bd $1985   pp$992   N Geneva near W Court                | no_street_address
FLAG craigslist-7940243934                    1bd $1750   pp$1750  East Hill Area OIthaca               | no_street_address
FLAG craigslist-7937391673                    1bd $398    pp$398   310 Farm St.                         | total_low(398)
FLAG craigslist-7940192073                    3bd $2050   pp$683   Ithaca                               | no_street_address
FLAG craigslist-7936696284                    2bd $1700   pp$850   Midline near Hurd                    | no_street_address
FLAG craigslist-7940091029                    0bd $1000   pp$1000  Ithaca                               | no_street_address; beds!=raw(0vs3)
FLAG craigslist-7940086463                    1bd $1300   pp$1300  Ithaca                               | no_street_address
FLAG craigslist-7936483667                    0bd $525    pp$525   Ithaca                               | no_street_address; beds!=raw(0vs4)
FLAG craigslist-7935872476                    2bd $2825   pp$1412  Ithaca                               | no_street_address
FLAG craigslist-7936816842                    0bd $1100   pp$1100  Ithaca                               | no_street_address
FLAG craigslist-7938734612                    2bd $1900   pp$950   Ithaca                               | no_street_address
FLAG craigslist-7935757046                    1bd $1400   pp$1400  Ithaca                               | no_street_address
